 65,  0 | TrAcc: 0.6935, TrLoss:  0.96026, VaAcc: 0.4334, VaLoss:  2.27181
 66,  0 | TrAcc: 0.6834, TrLoss:  1.00006, VaAcc: 0.4299, VaLoss:  2.28870
 67,  0 | TrAcc: 0.6840, TrLoss:  0.98393, VaAcc: 0.4310, VaLoss:  2.28820
 68,  0 | TrAcc: 0.6805, TrLoss:  0.99143, VaAcc: 0.4306, VaLoss:  2.29054
 69,  0 | TrAcc: 0.6802, TrLoss:  0.99480, VaAcc: 0.4317, VaLoss:  2.29700
 70,  0 | TrAcc: 0.6934, TrLoss:  0.96015, VaAcc: 0.4362, VaLoss:  2.28173
 71,  0 | TrAcc: 0.7012, TrLoss:  0.94049, VaAcc: 0.4267, VaLoss:  2.29726
 72,  0 | TrAcc: 0.6971, TrLoss:  0.95078, VaAcc: 0.4297, VaLoss:  2.30426
 73,  0 | TrAcc: 0.6985, TrLoss:  0.95396, VaAcc: 0.4368, VaLoss:  2.26807
 74,  0 | TrAcc: 0.6996, TrLoss:  0.93973, VaAcc: 0.4362, VaLoss:  2.30621
 75,  0 | TrAcc: 0.6907, TrLoss:  0.98238, VaAcc: 0.4282, VaLoss:  2.30111
 76,  0 | TrAcc: 0.6969, TrLoss:  0.95246, VaAcc: 0.4288, VaLoss:  2.29435
 77,  0 | TrAcc: 0.6870, TrLoss:  0.96473, VaAcc: 0.4263, VaLoss:  2.31496
 78,  0 | TrAcc: 0.6977, TrLoss:  0.94485, VaAcc: 0.4325, VaLoss:  2.30076
 79,  0 | TrAcc: 0.7112, TrLoss:  0.90894, VaAcc: 0.4373, VaLoss:  2.29986
 80,  0 | TrAcc: 0.6977, TrLoss:  0.94008, VaAcc: 0.4280, VaLoss:  2.30752
 81,  0 | TrAcc: 0.6976, TrLoss:  0.95554, VaAcc: 0.4217, VaLoss:  2.32601
 82,  0 | TrAcc: 0.6945, TrLoss:  0.95450, VaAcc: 0.4301, VaLoss:  2.30974
 83,  0 | TrAcc: 0.6964, TrLoss:  0.94669, VaAcc: 0.4256, VaLoss:  2.31450
 84,  0 | TrAcc: 0.7020, TrLoss:  0.93146, VaAcc: 0.4282, VaLoss:  2.31538
 85,  0 | TrAcc: 0.7055, TrLoss:  0.92345, VaAcc: 0.4278, VaLoss:  2.32568
 86,  0 | TrAcc: 0.6926, TrLoss:  0.96149, VaAcc: 0.4241, VaLoss:  2.33395
 87,  0 | TrAcc: 0.7060, TrLoss:  0.91741, VaAcc: 0.4269, VaLoss:  2.32206
 88,  0 | TrAcc: 0.7010, TrLoss:  0.91383, VaAcc: 0.4265, VaLoss:  2.32049
 89,  0 | TrAcc: 0.7102, TrLoss:  0.90698, VaAcc: 0.4207, VaLoss:  2.33771
 90,  0 | TrAcc: 0.7142, TrLoss:  0.89949, VaAcc: 0.4237, VaLoss:  2.33729
 91,  0 | TrAcc: 0.7075, TrLoss:  0.90938, VaAcc: 0.4310, VaLoss:  2.33942
 92,  0 | TrAcc: 0.7046, TrLoss:  0.92212, VaAcc: 0.4297, VaLoss:  2.34044
 93,  0 | TrAcc: 0.7127, TrLoss:  0.89838, VaAcc: 0.4196, VaLoss:  2.33674
 94,  0 | TrAcc: 0.7095, TrLoss:  0.91301, VaAcc: 0.4232, VaLoss:  2.34732
 95,  0 | TrAcc: 0.7005, TrLoss:  0.93635, VaAcc: 0.4252, VaLoss:  2.32995
 96,  0 | TrAcc: 0.7162, TrLoss:  0.88515, VaAcc: 0.4284, VaLoss:  2.33869
 97,  0 | TrAcc: 0.7128, TrLoss:  0.91047, VaAcc: 0.4317, VaLoss:  2.33437
 98,  0 | TrAcc: 0.7157, TrLoss:  0.88630, VaAcc: 0.4235, VaLoss:  2.34930
 99,  0 | TrAcc: 0.7221, TrLoss:  0.87486, VaAcc: 0.4286, VaLoss:  2.33491

=============================
CONFIG FILE

RNN CONFIG
{'batchnorm': {'modes': [], 'momentum': 0.98, 'tau': 5, 'type': 'none'},
 'learning_rate': 0.02,
 'learning_rate_tau': 10000,
 'mode': {'max_epochs': 100, 'min_error': 0, 'name': 'classic'},
 'task_id': 8}

DATA CONFIG
{'dataset': 'timit',
 'remove_bias': False,
 'te': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500},
 'tr': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': True,
        'minibatch_size': 1000},
 'va': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500}}

TRAINING CONFIG
{'discrete_acts': [],
 'gradient_clip_value': 0.5,
 'layer_configs': [{'layer_type': 'input'},
                   {'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'},
                                    'f': {'b': 'all_one', 'w': 'xavier'},
                                    'i': {'b': 'all_zero', 'w': 'xavier'},
                                    'o': {'b': 'all_zero', 'w': 'xavier'}},
                    'layer_type': 'lstm',
                    'regularization': {'mode': 'none',
                                       'output_zo_prob': 0.01,
                                       'state_zo_prob': 0.05},
                    'var_scope': 'lstm_0'},
                   {'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'},
                                    'f': {'b': 'all_one', 'w': 'xavier'},
                                    'i': {'b': 'all_zero', 'w': 'xavier'},
                                    'o': {'b': 'all_zero', 'w': 'xavier'}},
                    'layer_type': 'lstm',
                    'regularization': {'mode': 'none',
                                       'output_zo_prob': 0.01,
                                       'state_zo_prob': 0.05},
                    'var_scope': 'lstm_1'},
                   {'init_config': {'b': 'all_zero', 'w': 'xavier'},
                    'layer_type': 'fc',
                    'regularization': {'mode': 'l2', 'strength': 0.0},
                    'var_scope': 'output_layer'}],
 'layout': [13, 20, 70, 60],
 'n_bins': 2.0,
 'output_type': 'classification',
 'weight_type': 'continuous'}
==============================


  0,  0 | TrAcc: 0.0104, TrLoss:  4.72288, VaAcc: 0.0121, VaLoss:  4.71897
  1,  0 | TrAcc: 0.3706, TrLoss:  2.19680, VaAcc: 0.3545, VaLoss:  2.36906
  2,  0 | TrAcc: 0.4323, TrLoss:  1.93226, VaAcc: 0.3982, VaLoss:  2.20846
  3,  0 | TrAcc: 0.4741, TrLoss:  1.77563, VaAcc: 0.4381, VaLoss:  2.10203
  4,  0 | TrAcc: 0.4940, TrLoss:  1.69044, VaAcc: 0.4340, VaLoss:  2.06693
  5,  0 | TrAcc: 0.5032, TrLoss:  1.64893, VaAcc: 0.4452, VaLoss:  2.05312
  6,  0 | TrAcc: 0.5155, TrLoss:  1.58822, VaAcc: 0.4545, VaLoss:  2.06413
  7,  0 | TrAcc: 0.5276, TrLoss:  1.54883, VaAcc: 0.4623, VaLoss:  2.03108
  8,  0 | TrAcc: 0.5319, TrLoss:  1.51488, VaAcc: 0.4567, VaLoss:  2.02347
  9,  0 | TrAcc: 0.5454, TrLoss:  1.46606, VaAcc: 0.4696, VaLoss:  2.02693
 10,  0 | TrAcc: 0.5485, TrLoss:  1.46246, VaAcc: 0.4659, VaLoss:  2.03969
 11,  0 | TrAcc: 0.5565, TrLoss:  1.42414, VaAcc: 0.4636, VaLoss:  2.05295
 12,  0 | TrAcc: 0.5652, TrLoss:  1.38650, VaAcc: 0.4700, VaLoss:  2.03950
 13,  0 | TrAcc: 0.5642, TrLoss:  1.39271, VaAcc: 0.4666, VaLoss:  2.04027
 14,  0 | TrAcc: 0.5772, TrLoss:  1.36034, VaAcc: 0.4661, VaLoss:  2.07109
 15,  0 | TrAcc: 0.5834, TrLoss:  1.32634, VaAcc: 0.4625, VaLoss:  2.05953
 16,  0 | TrAcc: 0.5883, TrLoss:  1.29908, VaAcc: 0.4737, VaLoss:  2.04720
 17,  0 | TrAcc: 0.5978, TrLoss:  1.29590, VaAcc: 0.4679, VaLoss:  2.05849
 18,  0 | TrAcc: 0.5911, TrLoss:  1.28664, VaAcc: 0.4672, VaLoss:  2.07924
 19,  0 | TrAcc: 0.6026, TrLoss:  1.27188, VaAcc: 0.4698, VaLoss:  2.07898
 20,  0 | TrAcc: 0.6092, TrLoss:  1.23688, VaAcc: 0.4640, VaLoss:  2.09496
 21,  0 | TrAcc: 0.6074, TrLoss:  1.25814, VaAcc: 0.4623, VaLoss:  2.10821
 22,  0 | TrAcc: 0.6139, TrLoss:  1.22583, VaAcc: 0.4718, VaLoss:  2.10158
 23,  0 | TrAcc: 0.6050, TrLoss:  1.24325, VaAcc: 0.4582, VaLoss:  2.12436
 24,  0 | TrAcc: 0.6164, TrLoss:  1.20639, VaAcc: 0.4545, VaLoss:  2.12422
 25,  0 | TrAcc: 0.6190, TrLoss:  1.20977, VaAcc: 0.4597, VaLoss:  2.13897
 26,  0 | TrAcc: 0.6264, TrLoss:  1.17956, VaAcc: 0.4621, VaLoss:  2.13020
 27,  0 | TrAcc: 0.6391, TrLoss:  1.14202, VaAcc: 0.4681, VaLoss:  2.11486
 28,  0 | TrAcc: 0.6314, TrLoss:  1.16094, VaAcc: 0.4603, VaLoss:  2.12095
 29,  0 | TrAcc: 0.6294, TrLoss:  1.16519, VaAcc: 0.4560, VaLoss:  2.14897
 30,  0 | TrAcc: 0.6432, TrLoss:  1.13523, VaAcc: 0.4657, VaLoss:  2.15204
 31,  0 | TrAcc: 0.6381, TrLoss:  1.14886, VaAcc: 0.4457, VaLoss:  2.16062
 32,  0 | TrAcc: 0.6411, TrLoss:  1.13798, VaAcc: 0.4528, VaLoss:  2.15277
 33,  0 | TrAcc: 0.6436, TrLoss:  1.12038, VaAcc: 0.4549, VaLoss:  2.18355
 34,  0 | TrAcc: 0.6501, TrLoss:  1.08551, VaAcc: 0.4489, VaLoss:  2.18873
 35,  0 | TrAcc: 0.6526, TrLoss:  1.09552, VaAcc: 0.4595, VaLoss:  2.17721
 36,  0 | TrAcc: 0.6516, TrLoss:  1.09536, VaAcc: 0.4485, VaLoss:  2.19619
 37,  0 | TrAcc: 0.6447, TrLoss:  1.11322, VaAcc: 0.4524, VaLoss:  2.17178
 38,  0 | TrAcc: 0.6538, TrLoss:  1.08182, VaAcc: 0.4424, VaLoss:  2.21187
 39,  0 | TrAcc: 0.6507, TrLoss:  1.08829, VaAcc: 0.4560, VaLoss:  2.19534
 40,  0 | TrAcc: 0.6518, TrLoss:  1.09697, VaAcc: 0.4388, VaLoss:  2.20928
 41,  0 | TrAcc: 0.6739, TrLoss:  1.04752, VaAcc: 0.4461, VaLoss:  2.21708
 42,  0 | TrAcc: 0.6678, TrLoss:  1.04015, VaAcc: 0.4519, VaLoss:  2.20071
 43,  0 | TrAcc: 0.6585, TrLoss:  1.07179, VaAcc: 0.4463, VaLoss:  2.21453
 44,  0 | TrAcc: 0.6652, TrLoss:  1.03592, VaAcc: 0.4455, VaLoss:  2.21588
 45,  0 | TrAcc: 0.6583, TrLoss:  1.06198, VaAcc: 0.4437, VaLoss:  2.23049
 46,  0 | TrAcc: 0.6660, TrLoss:  1.04469, VaAcc: 0.4420, VaLoss:  2.23856
 47,  0 | TrAcc: 0.6668, TrLoss:  1.04026, VaAcc: 0.4502, VaLoss:  2.22480
 48,  0 | TrAcc: 0.6753, TrLoss:  1.02363, VaAcc: 0.4506, VaLoss:  2.23127
 49,  0 | TrAcc: 0.6758, TrLoss:  1.00825, VaAcc: 0.4515, VaLoss:  2.22461
 50,  0 | TrAcc: 0.6769, TrLoss:  1.01308, VaAcc: 0.4543, VaLoss:  2.25256
 51,  0 | TrAcc: 0.6765, TrLoss:  1.01895, VaAcc: 0.4394, VaLoss:  2.25601
 52,  0 | TrAcc: 0.6778, TrLoss:  1.00664, VaAcc: 0.4396, VaLoss:  2.25448
 53,  0 | TrAcc: 0.6744, TrLoss:  1.01497, VaAcc: 0.4383, VaLoss:  2.26889
 54,  0 | TrAcc: 0.6755, TrLoss:  1.00384, VaAcc: 0.4424, VaLoss:  2.24472
 55,  0 | TrAcc: 0.6808, TrLoss:  0.99064, VaAcc: 0.4472, VaLoss:  2.24775
 56,  0 | TrAcc: 0.6753, TrLoss:  1.01667, VaAcc: 0.4347, VaLoss:  2.25964
 57,  0 | TrAcc: 0.6867, TrLoss:  0.97956, VaAcc: 0.4288, VaLoss:  2.26530
 58,  0 | TrAcc: 0.6808, TrLoss:  0.99675, VaAcc: 0.4383, VaLoss:  2.27108
 59,  0 | TrAcc: 0.6892, TrLoss:  0.97061, VaAcc: 0.4401, VaLoss:  2.26870
 60,  0 | TrAcc: 0.6851, TrLoss:  0.97730, VaAcc: 0.4435, VaLoss:  2.27459
 61,  0 | TrAcc: 0.6726, TrLoss:  1.01802, VaAcc: 0.4437, VaLoss:  2.28139
 62,  0 | TrAcc: 0.6763, TrLoss:  1.01630, VaAcc: 0.4362, VaLoss:  2.29188
 63,  0 | TrAcc: 0.6802, TrLoss:  0.99664, VaAcc: 0.4355, VaLoss:  2.29864
 64,  0 | TrAcc: 0.6817, TrLoss:  0.99422, VaAcc: 0.4340, VaLoss:  2.28463
 65,  0 | TrAcc: 0.6860, TrLoss:  0.98743, VaAcc: 0.4342, VaLoss:  2.28499
 66,  0 | TrAcc: 0.6956, TrLoss:  0.95643, VaAcc: 0.4340, VaLoss:  2.28331
 67,  0 | TrAcc: 0.6809, TrLoss:  0.99333, VaAcc: 0.4336, VaLoss:  2.28859
 68,  0 | TrAcc: 0.6957, TrLoss:  0.95151, VaAcc: 0.4304, VaLoss:  2.29371
 69,  0 | TrAcc: 0.6997, TrLoss:  0.93672, VaAcc: 0.4379, VaLoss:  2.27790
 70,  0 | TrAcc: 0.6903, TrLoss:  0.96273, VaAcc: 0.4431, VaLoss:  2.27935
 71,  0 | TrAcc: 0.6973, TrLoss:  0.94641, VaAcc: 0.4422, VaLoss:  2.28312
 72,  0 | TrAcc: 0.6901, TrLoss:  0.96859, VaAcc: 0.4282, VaLoss:  2.30822
 73,  0 | TrAcc: 0.6962, TrLoss:  0.95670, VaAcc: 0.4390, VaLoss:  2.30629
 74,  0 | TrAcc: 0.7003, TrLoss:  0.93969, VaAcc: 0.4355, VaLoss:  2.30926
 75,  0 | TrAcc: 0.6807, TrLoss:  0.99985, VaAcc: 0.4144, VaLoss:  2.31668
 76,  0 | TrAcc: 0.6877, TrLoss:  0.95925, VaAcc: 0.4299, VaLoss:  2.31670
 77,  0 | TrAcc: 0.7011, TrLoss:  0.92276, VaAcc: 0.4252, VaLoss:  2.31913
 78,  0 | TrAcc: 0.6980, TrLoss:  0.93675, VaAcc: 0.4297, VaLoss:  2.32563
 79,  0 | TrAcc: 0.7057, TrLoss:  0.91532, VaAcc: 0.4293, VaLoss:  2.31994
 80,  0 | TrAcc: 0.7011, TrLoss:  0.92418, VaAcc: 0.4321, VaLoss:  2.31943
 81,  0 | TrAcc: 0.7066, TrLoss:  0.92052, VaAcc: 0.4213, VaLoss:  2.33534
 82,  0 | TrAcc: 0.7038, TrLoss:  0.92319, VaAcc: 0.4291, VaLoss:  2.33010
