 62,  0 | TrAcc: 0.4968, TrLoss:  1.62399, VaAcc: 0.4010, VaLoss:  2.44594
 63,  0 | TrAcc: 0.4888, TrLoss:  1.64359, VaAcc: 0.4025, VaLoss:  2.45905
 64,  0 | TrAcc: 0.5059, TrLoss:  1.61289, VaAcc: 0.3967, VaLoss:  2.46081
 65,  0 | TrAcc: 0.4987, TrLoss:  1.61826, VaAcc: 0.3948, VaLoss:  2.46757
 66,  0 | TrAcc: 0.4953, TrLoss:  1.62102, VaAcc: 0.4004, VaLoss:  2.46790
 67,  0 | TrAcc: 0.5055, TrLoss:  1.60129, VaAcc: 0.3909, VaLoss:  2.46613
 68,  0 | TrAcc: 0.5035, TrLoss:  1.60583, VaAcc: 0.4034, VaLoss:  2.45755
 69,  0 | TrAcc: 0.4994, TrLoss:  1.62664, VaAcc: 0.3931, VaLoss:  2.47695
 70,  0 | TrAcc: 0.5057, TrLoss:  1.59751, VaAcc: 0.4051, VaLoss:  2.45410
 71,  0 | TrAcc: 0.5075, TrLoss:  1.58944, VaAcc: 0.4013, VaLoss:  2.46354
 72,  0 | TrAcc: 0.5004, TrLoss:  1.62269, VaAcc: 0.3928, VaLoss:  2.46411
 73,  0 | TrAcc: 0.5019, TrLoss:  1.61579, VaAcc: 0.4015, VaLoss:  2.45984
 74,  0 | TrAcc: 0.5055, TrLoss:  1.59952, VaAcc: 0.3911, VaLoss:  2.47687
 75,  0 | TrAcc: 0.5009, TrLoss:  1.59757, VaAcc: 0.3963, VaLoss:  2.46158
 76,  0 | TrAcc: 0.5057, TrLoss:  1.58684, VaAcc: 0.4028, VaLoss:  2.47182
 77,  0 | TrAcc: 0.5041, TrLoss:  1.58934, VaAcc: 0.4025, VaLoss:  2.45639
 78,  0 | TrAcc: 0.5006, TrLoss:  1.59829, VaAcc: 0.3976, VaLoss:  2.48101
 79,  0 | TrAcc: 0.5042, TrLoss:  1.59573, VaAcc: 0.4034, VaLoss:  2.47250
 80,  0 | TrAcc: 0.5065, TrLoss:  1.59234, VaAcc: 0.3924, VaLoss:  2.47124
 81,  0 | TrAcc: 0.5073, TrLoss:  1.59439, VaAcc: 0.4101, VaLoss:  2.46259
 82,  0 | TrAcc: 0.5017, TrLoss:  1.59811, VaAcc: 0.3896, VaLoss:  2.47618
 83,  0 | TrAcc: 0.5032, TrLoss:  1.59257, VaAcc: 0.3881, VaLoss:  2.48633
 84,  0 | TrAcc: 0.5040, TrLoss:  1.61236, VaAcc: 0.3948, VaLoss:  2.48114
 85,  0 | TrAcc: 0.5066, TrLoss:  1.58864, VaAcc: 0.3980, VaLoss:  2.48457
 86,  0 | TrAcc: 0.5089, TrLoss:  1.58517, VaAcc: 0.3935, VaLoss:  2.46862
 87,  0 | TrAcc: 0.5137, TrLoss:  1.57818, VaAcc: 0.4073, VaLoss:  2.46130
 88,  0 | TrAcc: 0.5003, TrLoss:  1.59023, VaAcc: 0.4041, VaLoss:  2.46673
 89,  0 | TrAcc: 0.5092, TrLoss:  1.57402, VaAcc: 0.4028, VaLoss:  2.46658
 90,  0 | TrAcc: 0.5092, TrLoss:  1.57434, VaAcc: 0.3911, VaLoss:  2.48111
 91,  0 | TrAcc: 0.5055, TrLoss:  1.58639, VaAcc: 0.3933, VaLoss:  2.48246
 92,  0 | TrAcc: 0.5073, TrLoss:  1.58159, VaAcc: 0.3991, VaLoss:  2.48576
 93,  0 | TrAcc: 0.5116, TrLoss:  1.57264, VaAcc: 0.3997, VaLoss:  2.47627
 94,  0 | TrAcc: 0.5078, TrLoss:  1.58312, VaAcc: 0.3907, VaLoss:  2.49479
 95,  0 | TrAcc: 0.5113, TrLoss:  1.56569, VaAcc: 0.3963, VaLoss:  2.48342
 96,  0 | TrAcc: 0.5077, TrLoss:  1.56137, VaAcc: 0.4017, VaLoss:  2.48955
 97,  0 | TrAcc: 0.5026, TrLoss:  1.59680, VaAcc: 0.3995, VaLoss:  2.50571
 98,  0 | TrAcc: 0.5110, TrLoss:  1.58104, VaAcc: 0.3935, VaLoss:  2.48214
 99,  0 | TrAcc: 0.5093, TrLoss:  1.57452, VaAcc: 0.4030, VaLoss:  2.48605

=============================
CONFIG FILE

RNN CONFIG
{'batchnorm': {'modes': [], 'momentum': 0.98, 'tau': 5, 'type': 'none'},
 'learning_rate': 0.02,
 'learning_rate_tau': 10000,
 'mode': {'max_epochs': 100, 'min_error': 0, 'name': 'classic'},
 'task_id': 25}

DATA CONFIG
{'dataset': 'timit',
 'remove_bias': False,
 'te': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500},
 'tr': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': True,
        'minibatch_size': 1000},
 'va': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500}}

TRAINING CONFIG
{'discrete_acts': ['c', 'o'],
 'gradient_clip_value': 0.5,
 'layer_configs': [{'layer_type': 'input'},
                   {'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'},
                                    'f': {'b': 'all_one', 'w': 'xavier'},
                                    'i': {'b': 'all_zero', 'w': 'xavier'},
                                    'o': {'b': 'all_zero', 'w': 'xavier'}},
                    'layer_type': 'lstm',
                    'regularization': {'mode': 'none',
                                       'output_zo_prob': 0.01,
                                       'state_zo_prob': 0.05},
                    'var_scope': 'lstm_0'},
                   {'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'},
                                    'f': {'b': 'all_one', 'w': 'xavier'},
                                    'i': {'b': 'all_zero', 'w': 'xavier'},
                                    'o': {'b': 'all_zero', 'w': 'xavier'}},
                    'layer_type': 'lstm',
                    'regularization': {'mode': 'none',
                                       'output_zo_prob': 0.01,
                                       'state_zo_prob': 0.05},
                    'var_scope': 'lstm_1'},
                   {'init_config': {'b': 'all_zero', 'w': 'xavier'},
                    'layer_type': 'fc',
                    'regularization': {'mode': 'l2', 'strength': 0.0},
                    'var_scope': 'output_layer'}],
 'layout': [13, 70, 100, 60],
 'n_bins': 2.0,
 'output_type': 'classification',
 'weight_type': 'ternary'}
==============================


  0,  0 | TrAcc: 0.0150, TrLoss:  4.56694, VaAcc: 0.0201, VaLoss:  4.57236
  1,  0 | TrAcc: 0.3071, TrLoss:  2.53903, VaAcc: 0.2602, VaLoss:  2.77942
  2,  0 | TrAcc: 0.3460, TrLoss:  2.29443, VaAcc: 0.3001, VaLoss:  2.60994
  3,  0 | TrAcc: 0.3607, TrLoss:  2.20170, VaAcc: 0.3064, VaLoss:  2.57612
  4,  0 | TrAcc: 0.3865, TrLoss:  2.08535, VaAcc: 0.3262, VaLoss:  2.52497
  5,  0 | TrAcc: 0.3946, TrLoss:  2.05606, VaAcc: 0.3372, VaLoss:  2.51698
  6,  0 | TrAcc: 0.4050, TrLoss:  2.00200, VaAcc: 0.3588, VaLoss:  2.47360
  7,  0 | TrAcc: 0.4141, TrLoss:  1.96146, VaAcc: 0.3542, VaLoss:  2.47478
  8,  0 | TrAcc: 0.4177, TrLoss:  1.96703, VaAcc: 0.3586, VaLoss:  2.47161
  9,  0 | TrAcc: 0.4238, TrLoss:  1.92396, VaAcc: 0.3551, VaLoss:  2.47637
 10,  0 | TrAcc: 0.4235, TrLoss:  1.90709, VaAcc: 0.3618, VaLoss:  2.45643
 11,  0 | TrAcc: 0.4408, TrLoss:  1.86445, VaAcc: 0.3771, VaLoss:  2.43759
 12,  0 | TrAcc: 0.4368, TrLoss:  1.86010, VaAcc: 0.3639, VaLoss:  2.45243
 13,  0 | TrAcc: 0.4456, TrLoss:  1.83048, VaAcc: 0.3767, VaLoss:  2.43368
 14,  0 | TrAcc: 0.4399, TrLoss:  1.83723, VaAcc: 0.3749, VaLoss:  2.44536
 15,  0 | TrAcc: 0.4448, TrLoss:  1.81787, VaAcc: 0.3773, VaLoss:  2.42229
 16,  0 | TrAcc: 0.4517, TrLoss:  1.81012, VaAcc: 0.3747, VaLoss:  2.42182
 17,  0 | TrAcc: 0.4544, TrLoss:  1.79852, VaAcc: 0.3745, VaLoss:  2.43108
 18,  0 | TrAcc: 0.4562, TrLoss:  1.78227, VaAcc: 0.3840, VaLoss:  2.41550
 19,  0 | TrAcc: 0.4574, TrLoss:  1.78749, VaAcc: 0.3743, VaLoss:  2.43807
 20,  0 | TrAcc: 0.4639, TrLoss:  1.75530, VaAcc: 0.3737, VaLoss:  2.42562
 21,  0 | TrAcc: 0.4615, TrLoss:  1.76763, VaAcc: 0.3855, VaLoss:  2.42467
 22,  0 | TrAcc: 0.4651, TrLoss:  1.75021, VaAcc: 0.3775, VaLoss:  2.42632
 23,  0 | TrAcc: 0.4675, TrLoss:  1.75045, VaAcc: 0.3806, VaLoss:  2.43056
 24,  0 | TrAcc: 0.4638, TrLoss:  1.75743, VaAcc: 0.3836, VaLoss:  2.43481
 25,  0 | TrAcc: 0.4704, TrLoss:  1.73610, VaAcc: 0.3829, VaLoss:  2.42746
 26,  0 | TrAcc: 0.4678, TrLoss:  1.73149, VaAcc: 0.3782, VaLoss:  2.44050
 27,  0 | TrAcc: 0.4717, TrLoss:  1.72446, VaAcc: 0.3898, VaLoss:  2.42014
 28,  0 | TrAcc: 0.4751, TrLoss:  1.71203, VaAcc: 0.3825, VaLoss:  2.42712
 29,  0 | TrAcc: 0.4727, TrLoss:  1.71338, VaAcc: 0.3777, VaLoss:  2.43692
 30,  0 | TrAcc: 0.4762, TrLoss:  1.70396, VaAcc: 0.3887, VaLoss:  2.42911
 31,  0 | TrAcc: 0.4734, TrLoss:  1.70351, VaAcc: 0.3924, VaLoss:  2.42843
 32,  0 | TrAcc: 0.4704, TrLoss:  1.73152, VaAcc: 0.3933, VaLoss:  2.43848
 33,  0 | TrAcc: 0.4803, TrLoss:  1.69124, VaAcc: 0.3728, VaLoss:  2.42678
 34,  0 | TrAcc: 0.4789, TrLoss:  1.70601, VaAcc: 0.3784, VaLoss:  2.44573
 35,  0 | TrAcc: 0.4847, TrLoss:  1.68039, VaAcc: 0.3842, VaLoss:  2.43950
 36,  0 | TrAcc: 0.4825, TrLoss:  1.68299, VaAcc: 0.3935, VaLoss:  2.43117
 37,  0 | TrAcc: 0.4852, TrLoss:  1.67734, VaAcc: 0.3786, VaLoss:  2.44268
 38,  0 | TrAcc: 0.4771, TrLoss:  1.68882, VaAcc: 0.3915, VaLoss:  2.42658
 39,  0 | TrAcc: 0.4808, TrLoss:  1.68279, VaAcc: 0.3827, VaLoss:  2.43474
