 76,  0 | TrAcc: 0.4646, TrLoss:  1.75944, VaAcc: 0.3797, VaLoss:  2.54249
 77,  0 | TrAcc: 0.4655, TrLoss:  1.75806, VaAcc: 0.3644, VaLoss:  2.54673
 78,  0 | TrAcc: 0.4664, TrLoss:  1.75830, VaAcc: 0.3657, VaLoss:  2.53512
 79,  0 | TrAcc: 0.4589, TrLoss:  1.76754, VaAcc: 0.3676, VaLoss:  2.54464
 80,  0 | TrAcc: 0.4584, TrLoss:  1.77430, VaAcc: 0.3629, VaLoss:  2.55130
 81,  0 | TrAcc: 0.4596, TrLoss:  1.76479, VaAcc: 0.3618, VaLoss:  2.53719
 82,  0 | TrAcc: 0.4589, TrLoss:  1.76860, VaAcc: 0.3741, VaLoss:  2.52665
 83,  0 | TrAcc: 0.4582, TrLoss:  1.78137, VaAcc: 0.3745, VaLoss:  2.54435
 84,  0 | TrAcc: 0.4640, TrLoss:  1.75308, VaAcc: 0.3730, VaLoss:  2.53898
 85,  0 | TrAcc: 0.4693, TrLoss:  1.74875, VaAcc: 0.3726, VaLoss:  2.52853
 86,  0 | TrAcc: 0.4692, TrLoss:  1.74059, VaAcc: 0.3683, VaLoss:  2.55225
 87,  0 | TrAcc: 0.4700, TrLoss:  1.73954, VaAcc: 0.3795, VaLoss:  2.54755
 88,  0 | TrAcc: 0.4727, TrLoss:  1.72835, VaAcc: 0.3704, VaLoss:  2.55831
 89,  0 | TrAcc: 0.4636, TrLoss:  1.75325, VaAcc: 0.3691, VaLoss:  2.55292
 90,  0 | TrAcc: 0.4748, TrLoss:  1.72146, VaAcc: 0.3741, VaLoss:  2.56058
 91,  0 | TrAcc: 0.4700, TrLoss:  1.73512, VaAcc: 0.3689, VaLoss:  2.56195
 92,  0 | TrAcc: 0.4666, TrLoss:  1.73931, VaAcc: 0.3767, VaLoss:  2.54156
 93,  0 | TrAcc: 0.4684, TrLoss:  1.73481, VaAcc: 0.3743, VaLoss:  2.55603
 94,  0 | TrAcc: 0.4728, TrLoss:  1.73216, VaAcc: 0.3752, VaLoss:  2.54882
 95,  0 | TrAcc: 0.4692, TrLoss:  1.73840, VaAcc: 0.3827, VaLoss:  2.54359
 96,  0 | TrAcc: 0.4663, TrLoss:  1.74892, VaAcc: 0.3719, VaLoss:  2.54979
 97,  0 | TrAcc: 0.4648, TrLoss:  1.75614, VaAcc: 0.3719, VaLoss:  2.55678
 98,  0 | TrAcc: 0.4745, TrLoss:  1.73195, VaAcc: 0.3713, VaLoss:  2.55870
 99,  0 | TrAcc: 0.4653, TrLoss:  1.74591, VaAcc: 0.3685, VaLoss:  2.55430

=============================
CONFIG FILE

RNN CONFIG
{'batchnorm': {'modes': [], 'momentum': 0.98, 'tau': 5, 'type': 'none'},
 'learning_rate': 0.02,
 'learning_rate_tau': 10000,
 'mode': {'max_epochs': 100, 'min_error': 0, 'name': 'classic'},
 'task_id': 19}

DATA CONFIG
{'dataset': 'timit',
 'remove_bias': False,
 'te': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500},
 'tr': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': True,
        'minibatch_size': 1000},
 'va': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500}}

TRAINING CONFIG
