 85,  0 | TrAcc: 0.7308, TrLoss:  0.85513, VaAcc: 0.4148, VaLoss:  2.31861
 86,  0 | TrAcc: 0.7364, TrLoss:  0.83338, VaAcc: 0.4224, VaLoss:  2.31966
 87,  0 | TrAcc: 0.7361, TrLoss:  0.82864, VaAcc: 0.4198, VaLoss:  2.33130
 88,  0 | TrAcc: 0.7346, TrLoss:  0.83746, VaAcc: 0.4215, VaLoss:  2.31286
 89,  0 | TrAcc: 0.7374, TrLoss:  0.83216, VaAcc: 0.4172, VaLoss:  2.32839
 90,  0 | TrAcc: 0.7292, TrLoss:  0.84536, VaAcc: 0.4140, VaLoss:  2.32939
 91,  0 | TrAcc: 0.7378, TrLoss:  0.82842, VaAcc: 0.4155, VaLoss:  2.32977
 92,  0 | TrAcc: 0.7384, TrLoss:  0.81712, VaAcc: 0.4174, VaLoss:  2.33471
 93,  0 | TrAcc: 0.7380, TrLoss:  0.82720, VaAcc: 0.4200, VaLoss:  2.31869
 94,  0 | TrAcc: 0.7315, TrLoss:  0.83715, VaAcc: 0.4114, VaLoss:  2.33647
 95,  0 | TrAcc: 0.7370, TrLoss:  0.82085, VaAcc: 0.4267, VaLoss:  2.32881
 96,  0 | TrAcc: 0.7440, TrLoss:  0.81122, VaAcc: 0.4166, VaLoss:  2.34735
 97,  0 | TrAcc: 0.7399, TrLoss:  0.82074, VaAcc: 0.4120, VaLoss:  2.33905
 98,  0 | TrAcc: 0.7408, TrLoss:  0.81157, VaAcc: 0.4144, VaLoss:  2.33651
 99,  0 | TrAcc: 0.7326, TrLoss:  0.84095, VaAcc: 0.4200, VaLoss:  2.33131

=============================
CONFIG FILE

RNN CONFIG
{'batchnorm': {'modes': [], 'momentum': 0.98, 'tau': 5, 'type': 'none'},
 'learning_rate': 0.02,
 'learning_rate_tau': 10000,
 'mode': {'max_epochs': 100, 'min_error': 0, 'name': 'classic'},
 'task_id': 5}

DATA CONFIG
{'dataset': 'timit',
 'remove_bias': False,
 'te': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500},
 'tr': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': True,
        'minibatch_size': 1000},
 'va': {'in_seq_len': 40,
        'max_truncation': 0,
        'minibatch_mode': False,
        'minibatch_size': 500}}

TRAINING CONFIG
{'discrete_acts': [],
 'gradient_clip_value': 0.5,
 'layer_configs': [{'layer_type': 'input'},
                   {'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'},
                                    'f': {'b': 'all_one', 'w': 'xavier'},
                                    'i': {'b': 'all_zero', 'w': 'xavier'},
                                    'o': {'b': 'all_zero', 'w': 'xavier'}},
                    'layer_type': 'lstm',
                    'regularization': {'mode': 'none',
                                       'output_zo_prob': 0.01,
                                       'state_zo_prob': 0.05},
                    'var_scope': 'lstm_0'},
                   {'init_config': {'c': {'b': 'all_zero', 'w': 'xavier'},
                                    'f': {'b': 'all_one', 'w': 'xavier'},
                                    'i': {'b': 'all_zero', 'w': 'xavier'},
                                    'o': {'b': 'all_zero', 'w': 'xavier'}},
                    'layer_type': 'lstm',
                    'regularization': {'mode': 'none',
                                       'output_zo_prob': 0.01,
                                       'state_zo_prob': 0.05},
                    'var_scope': 'lstm_1'},
                   {'init_config': {'b': 'all_zero', 'w': 'xavier'},
                    'layer_type': 'fc',
                    'regularization': {'mode': 'l2', 'strength': 0.0},
                    'var_scope': 'output_layer'}],
 'layout': [13, 50, 50, 60],
 'n_bins': 2.0,
 'output_type': 'classification',
 'weight_type': 'continuous'}
==============================


  0,  0 | TrAcc: 0.0169, TrLoss:  4.58696, VaAcc: 0.0166, VaLoss:  4.58586
  1,  0 | TrAcc: 0.4289, TrLoss:  2.01923, VaAcc: 0.3875, VaLoss:  2.24409
  2,  0 | TrAcc: 0.4791, TrLoss:  1.76640, VaAcc: 0.4301, VaLoss:  2.10915
  3,  0 | TrAcc: 0.5067, TrLoss:  1.65247, VaAcc: 0.4450, VaLoss:  2.05036
  4,  0 | TrAcc: 0.5203, TrLoss:  1.58309, VaAcc: 0.4517, VaLoss:  2.03320
  5,  0 | TrAcc: 0.5340, TrLoss:  1.53078, VaAcc: 0.4638, VaLoss:  2.03831
  6,  0 | TrAcc: 0.5520, TrLoss:  1.45671, VaAcc: 0.4629, VaLoss:  2.03247
  7,  0 | TrAcc: 0.5558, TrLoss:  1.44133, VaAcc: 0.4657, VaLoss:  2.03925
  8,  0 | TrAcc: 0.5760, TrLoss:  1.38513, VaAcc: 0.4737, VaLoss:  2.01042
  9,  0 | TrAcc: 0.5750, TrLoss:  1.37776, VaAcc: 0.4586, VaLoss:  2.03536
 10,  0 | TrAcc: 0.5838, TrLoss:  1.33982, VaAcc: 0.4737, VaLoss:  2.04132
 11,  0 | TrAcc: 0.5970, TrLoss:  1.31194, VaAcc: 0.4702, VaLoss:  2.06339
 12,  0 | TrAcc: 0.5952, TrLoss:  1.30225, VaAcc: 0.4672, VaLoss:  2.05467
 13,  0 | TrAcc: 0.6057, TrLoss:  1.27079, VaAcc: 0.4698, VaLoss:  2.06673
 14,  0 | TrAcc: 0.6085, TrLoss:  1.25651, VaAcc: 0.4657, VaLoss:  2.08726
 15,  0 | TrAcc: 0.6152, TrLoss:  1.24021, VaAcc: 0.4702, VaLoss:  2.09332
 16,  0 | TrAcc: 0.6219, TrLoss:  1.22488, VaAcc: 0.4670, VaLoss:  2.08737
 17,  0 | TrAcc: 0.6272, TrLoss:  1.20108, VaAcc: 0.4715, VaLoss:  2.08318
 18,  0 | TrAcc: 0.6235, TrLoss:  1.20249, VaAcc: 0.4642, VaLoss:  2.10782
 19,  0 | TrAcc: 0.6340, TrLoss:  1.17351, VaAcc: 0.4657, VaLoss:  2.12265
 20,  0 | TrAcc: 0.6373, TrLoss:  1.16383, VaAcc: 0.4642, VaLoss:  2.13224
 21,  0 | TrAcc: 0.6339, TrLoss:  1.17240, VaAcc: 0.4605, VaLoss:  2.13569
 22,  0 | TrAcc: 0.6459, TrLoss:  1.13572, VaAcc: 0.4562, VaLoss:  2.14133
 23,  0 | TrAcc: 0.6449, TrLoss:  1.12418, VaAcc: 0.4668, VaLoss:  2.15028
 24,  0 | TrAcc: 0.6489, TrLoss:  1.11943, VaAcc: 0.4651, VaLoss:  2.15421
 25,  0 | TrAcc: 0.6484, TrLoss:  1.13132, VaAcc: 0.4584, VaLoss:  2.16575
 26,  0 | TrAcc: 0.6525, TrLoss:  1.11537, VaAcc: 0.4571, VaLoss:  2.16767
 27,  0 | TrAcc: 0.6541, TrLoss:  1.10063, VaAcc: 0.4536, VaLoss:  2.17282
 28,  0 | TrAcc: 0.6628, TrLoss:  1.06976, VaAcc: 0.4577, VaLoss:  2.16915
 29,  0 | TrAcc: 0.6696, TrLoss:  1.06412, VaAcc: 0.4515, VaLoss:  2.18469
 30,  0 | TrAcc: 0.6568, TrLoss:  1.08334, VaAcc: 0.4521, VaLoss:  2.18528
 31,  0 | TrAcc: 0.6656, TrLoss:  1.06845, VaAcc: 0.4383, VaLoss:  2.21139
 32,  0 | TrAcc: 0.6664, TrLoss:  1.06316, VaAcc: 0.4500, VaLoss:  2.19644
 33,  0 | TrAcc: 0.6751, TrLoss:  1.04367, VaAcc: 0.4450, VaLoss:  2.20425
 34,  0 | TrAcc: 0.6678, TrLoss:  1.05587, VaAcc: 0.4532, VaLoss:  2.19963
 35,  0 | TrAcc: 0.6705, TrLoss:  1.03889, VaAcc: 0.4502, VaLoss:  2.20939
 36,  0 | TrAcc: 0.6783, TrLoss:  1.02044, VaAcc: 0.4513, VaLoss:  2.21357
 37,  0 | TrAcc: 0.6764, TrLoss:  1.02897, VaAcc: 0.4414, VaLoss:  2.22968
 38,  0 | TrAcc: 0.6794, TrLoss:  1.02033, VaAcc: 0.4524, VaLoss:  2.22478
 39,  0 | TrAcc: 0.6826, TrLoss:  1.01271, VaAcc: 0.4498, VaLoss:  2.22046
 40,  0 | TrAcc: 0.6856, TrLoss:  1.00593, VaAcc: 0.4461, VaLoss:  2.23856
 41,  0 | TrAcc: 0.6777, TrLoss:  1.01397, VaAcc: 0.4467, VaLoss:  2.22765
 42,  0 | TrAcc: 0.6912, TrLoss:  0.99167, VaAcc: 0.4373, VaLoss:  2.25105
 43,  0 | TrAcc: 0.6856, TrLoss:  0.99012, VaAcc: 0.4319, VaLoss:  2.26327
 44,  0 | TrAcc: 0.6921, TrLoss:  0.97388, VaAcc: 0.4321, VaLoss:  2.27876
 45,  0 | TrAcc: 0.6933, TrLoss:  0.97327, VaAcc: 0.4379, VaLoss:  2.25269
 46,  0 | TrAcc: 0.6945, TrLoss:  0.97078, VaAcc: 0.4351, VaLoss:  2.25015
 47,  0 | TrAcc: 0.6933, TrLoss:  0.95879, VaAcc: 0.4375, VaLoss:  2.27367
 48,  0 | TrAcc: 0.6954, TrLoss:  0.95996, VaAcc: 0.4273, VaLoss:  2.27406
 49,  0 | TrAcc: 0.6974, TrLoss:  0.94708, VaAcc: 0.4353, VaLoss:  2.27057
 50,  0 | TrAcc: 0.6992, TrLoss:  0.94583, VaAcc: 0.4381, VaLoss:  2.26206
 51,  0 | TrAcc: 0.7009, TrLoss:  0.94967, VaAcc: 0.4403, VaLoss:  2.26461
 52,  0 | TrAcc: 0.7027, TrLoss:  0.93868, VaAcc: 0.4317, VaLoss:  2.28348
 53,  0 | TrAcc: 0.7084, TrLoss:  0.92528, VaAcc: 0.4288, VaLoss:  2.28017
 54,  0 | TrAcc: 0.7053, TrLoss:  0.93407, VaAcc: 0.4258, VaLoss:  2.27959
 55,  0 | TrAcc: 0.7053, TrLoss:  0.92782, VaAcc: 0.4357, VaLoss:  2.27587
 56,  0 | TrAcc: 0.7068, TrLoss:  0.93184, VaAcc: 0.4351, VaLoss:  2.28992
 57,  0 | TrAcc: 0.7038, TrLoss:  0.93720, VaAcc: 0.4245, VaLoss:  2.31733
 58,  0 | TrAcc: 0.7031, TrLoss:  0.92945, VaAcc: 0.4207, VaLoss:  2.30433
 59,  0 | TrAcc: 0.7119, TrLoss:  0.92080, VaAcc: 0.4308, VaLoss:  2.29092
 60,  0 | TrAcc: 0.6986, TrLoss:  0.94799, VaAcc: 0.4345, VaLoss:  2.30250
 61,  0 | TrAcc: 0.7069, TrLoss:  0.93902, VaAcc: 0.4323, VaLoss:  2.31423
 62,  0 | TrAcc: 0.7130, TrLoss:  0.90783, VaAcc: 0.4237, VaLoss:  2.31411
 63,  0 | TrAcc: 0.7116, TrLoss:  0.90193, VaAcc: 0.4202, VaLoss:  2.31622
 64,  0 | TrAcc: 0.7097, TrLoss:  0.91928, VaAcc: 0.4243, VaLoss:  2.30466
 65,  0 | TrAcc: 0.7043, TrLoss:  0.92890, VaAcc: 0.4258, VaLoss:  2.32304
